Time Created,Tweet_Text,Username,Additional Hashtags,Account Followers,Number Retweets,Number Likes
2020-12-22 21:50:29,b'#Pfizer Nears Deal With #Trump Administration to Provide More #Vaccine Doses https://t.co/8xbOSLfGv0',b'RajRama',"['Pfizer', 'Trump', 'Vaccine']",4653,0,0
2020-12-22 21:44:14,"b""The #COVID19 #BioTech Stocks R \xf0\x9f\xa6\x87\xf0\x9f\x92\xa9 \xf0\x9f\x93\x88\xf0\x9f\x93\x89\xf0\x9f\x93\x88\xf0\x9f\x93\x88\xf0\x9f\x93\x88\xf0\x9f\x93\x89\xf0\x9f\x93\x89 #Moderna #Pfizer #BioNTech  I wouldn't trust any of them. BioNTech fell 40 points in a week \xf0\x9f\x93\x89\xf0\x9f\x93\x89\xf0\x9f\x93\x89  I would stay as far as humanly possible from any and all #COVID19 #Vaccine Stocks https://t.co/xWIm0rfiVt""",b'MadeinMenlo',"['COVID19', 'BioTech', 'Moderna', 'Pfizer', 'BioNTech', 'COVID19', 'Vaccine']",422,0,0
2020-12-22 21:25:37,"b'The UK\xc2\xa0government (Boris Johnson) has granted pharmaceutical giant\xc2\xa0#Pfizer\xc2\xa0a legal indemnity protecting it from being sued, enabling its #coronavirus \xc2\xa0vaccine\xc2\xa0to be rolled out across the country.  The answer is, this #vaccine is not safe at all! #WakeUp https://t.co/BCS17qKuLk'",b'bodymanialtd',"['Pfizer', 'coronavirus', 'vaccine', 'WakeUp']",979,0,2
2020-12-22 21:20:58,"b""22/12 daily #Covid19UK tweet  @Conservatives are committing #Genocide  Day 21 'tiers' England  Day 15 #Pfizer #vaccine  2,079,678 cases &amp; 67,718 official deaths\xf0\x9f\x92\x94 Excess deaths c.83kRIP   #NewStrainCovid   Day  3 Tier 4 London &amp; SE #LorryDrivers trapped  40 countries #travelban""",b'RedbirdEl',"['Covid19UK', 'Genocide', 'Pfizer', 'vaccine', 'NewStrainCovid', 'LorryDrivers', 'travelban']",2707,1,4
2020-12-22 21:05:56,"b'ICYMI: @Clara_Maass an affiliate of @RWJBarnabas, began administering the #Pfizer-BioNTech vaccine to its frontline employees and physicians. The first employee of the  who volunteered to receive the #COVID-19 vaccine was Tanya Howard, an RN in the ICU.   https://t.co/tRwAQ6Xuz1'",b'Clara_Maass',"['Pfizer', 'COVID']",762,0,0
2020-12-22 20:43:04,"b""....two facilities in Massachusetts. So, while these three stocks may not win awards for prioritizing environmental sustainability, they're not fossil-fuel companies either. \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbc\xf0\x9f\x8c\x8d\xf0\x9f\x93\x88\xf0\x9f\x92\xb8\xe2\x98\x91\xef\xb8\x8f\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbc #Pfizer #Moderna #Astrazeneca #vaccine #coronavirus #pharma #esg #investing #biotech""",b'AJGlobalESG',"['Pfizer', 'Moderna', 'Astrazeneca', 'vaccine', 'coronavirus', 'pharma', 'esg', 'investing', 'biotech']",5,0,1
2020-12-22 20:33:49,b'First batch of #Pfizer #COVID19 #vaccine arrives in #Dubai on @emirates flight   https://t.co/azyV1c2z4l',b'gulf_news',"['Pfizer', 'COVID19', 'vaccine', 'Dubai']",1180594,24,118
2020-12-22 20:29:11,b'#Pfizer touts #COVID19 #vaccine #flexibility amid #concerns of #UK #strain  https://t.co/ka0qjokENY',b'TulipPenney',"['Pfizer', 'COVID19', 'vaccine', 'flexibility', 'concerns', 'UK', 'strain']",95537,0,1
2020-12-22 20:27:14,"b'""Nearly 2,900 Californians have died from COVID-19 over the last 14 days""  Go to -&gt; (https://t.co/7GYJwcxpys) and create a safer workplace with our medical supplies  #PPE #COVID19 #Health #Vaccine #California #Safety #Pfizer #Moderna #Hospitals #Nurse #Doctor #MaskUp #LA  #Cases https://t.co/PmcsvLVdeE'",b'WearActiveLLC',"['PPE', 'COVID19', 'Health', 'Vaccine', 'California', 'Safety', 'Pfizer', 'Moderna', 'Hospitals', 'Nurse', 'Doctor', 'MaskUp', 'LA', 'Cases']",23,0,1
2020-12-22 20:13:29,b'#BREAKING #COVID19: #UAE approves #Pfizer #vaccine for emergency use: https://t.co/2nqcea8JOf',b'khaleejtimes',"['BREAKING', 'COVID19', 'UAE', 'Pfizer', 'vaccine']",600555,5,30
